cord_uid,title,abstract_clean,journal,cluster,abstract_length
02cicr7k,Estimates of regional infectivity of COVID-19 in the United Kingdom following imposition of social distancing measures,"the severe acute respiratory syndrome coronavirus 2 (sars-cov-2) reproduction number has become an essential parameter for monitoring disease transmission across settings and guiding interventions. the uk published weekly estimates of the reproduction number in the uk starting in may 2020 which are formed from multiple independent estimates. in this paper, we describe methods used to estimate the time-varying sars-cov-2 reproduction number for the uk. we used multiple data sources and estimated a serial interval distribution from published studies. we describe regional variability and how estimates evolved during the early phases of the outbreak, until the relaxing of social distancing measures began to be introduced in early july. our analysis is able to guide localized control and provides a longitudinal example of applying these methods over long timescales. this article is part of the theme issue ‘modelling that shaped the early covid-19 pandemic response in the uk'.",Philos Trans R Soc Lond B Biol Sci,0,985
0126mcco,SARS-CoV-2 preS dTM vaccine booster candidates increase functional antibody responses and cross-neutralization against SARS-CoV-2 variants of concern in non-human primates,"the emergence of severe acute respiratory syndrome coronavirus 2 (sars-cov-2) variants that partly evade neutralizing antibodies has raised concerns of reduced vaccine effectiveness and increased infection. we previously demonstrated in preclinical models and in human clinical trials that our sars-cov-2 recombinant spike protein vaccine adjuvanted with as03 (cov2 pres dtm-as03) elicits robust neutralizing antibody responses in naive subjects. here, the objective was to document the potency of various booster vaccine formulations in macaques previously vaccinated with mrna or protein subunit vaccine candidates. we show that one booster dose of as03-adjuvanted cov2 pres dtm, d614 (parental) or b.1.351 (beta), in monovalent or bivalent (d614 + b.1.351) formulations, significantly boosted pre-existing neutralizing antibodies and elicited high and stable cross-neutralizing antibodies covering the four known sars-cov-2 variants of concern (alpha, beta, gamma and delta) and, unexpectedly, sars-cov-1, in primed macaques. interestingly, the non-adjuvanted cov2 pres dtm b.1.351 vaccine formulation also significantly boosted and broadened the neutralizing antibody responses. our findings show that these vaccine candidates used as a booster have the potential to offer cross-protection against a broad spectrum of variants. this has important implications for vaccine control of sars-cov-2 variants of concern and informs on the benefit of a booster with our vaccine candidates currently under evaluation in phase 2 and 3 clinical trials (nct04762680 and nct04904549).",,0,1576
0ezrek8w,Virtual Peer Teaching During the COVID-19 Pandemic,"virtual peer teaching can be part of the solution to challenges in medical education during the pandemic. we developed an online clinician teacher elective, implemented virtual peer teaching throughout our curriculum, and believe it benefits students, peer teachers, and faculty. we plan to continue virtual peer teaching beyond the pandemic.",Med Sci Educ,0,342
0ebpneok,Pathophysiology of coronavirus disease 2019 for wound care professionals,"there is pressing urgency to understand the pathogenesis of the severe acute respiratory syndrome coronavirus 2 (sars‐cov‐2) which causes coronavirus disease 2019 (covid‐19). the tissue tropism of sars‐cov‐2 includes not only the lung but also the vascular and integumentary systems. angiotensin‐converting enzyme 2 (ace2) appears to be the key functional receptor for the virus. there is a prominent innate immune response to sars‐cov‐2 infection, including inflammatory cytokines, chemokines, the complement system, and acute phase proteins. the pathophysiologic significance of sars‐cov‐2 and host immune system interaction, and covid‐19‐associated coagulopathy instigating microvascular injury syndrome mediated by activation of complement pathways, and an associated procoagulant state is important for wound care professionals to understand.",Int Wound J,0,847
0iqi30n8,Diminished capacity to make treatment decision for COVID-19 vaccination in schizophrenia,"recent evidence suggests that people with schizophrenia are at high risk for severe covid-19 and should be prioritized for vaccination. however, impaired decision-making capacities could negatively affect the uptake of covid-19 vaccination in this population. capacity to consent to covid-19 vaccination was assessed in 80 outpatients with schizophrenia. using the macarthur competence assessment tool for treatment, 56.3% of the sample were classified as having diminished capacity to consent to the vaccination. diminished capacity to consent to covid-19 vaccination was associated with lower vaccination rates, poorer cognition and higher level of psychotic symptoms. developing interventions for enhancing informed consent for vaccination is urgent within this population.",Eur Arch Psychiatry Clin Neurosci,0,776
0ad4uhiw,PPE decontamination to overcome PPE shortage in rural area during pandemic,"despite remarkable developments in healthcare, the world was not ready to stop the spread of the novel covid-19 pandemic almost a century after the great influenza pandemic. the explosive increase in the number of patients stalled the healthcare system, and the first and apparent issue was the shortage of personal protective equipment (ppe). our group established a system using a hydrogen peroxide vaporization method to decontaminate and reuse n95 respirators for healthcare workers. the system decontaminated over 12,000 units of ppe to cover institutions in west texas. this service provided support at the most needed time during the pandemic.",Infection Prevention in Practice,0,650
0kpreywq,"Using routine healthcare data to evaluate the impact of the Medicines at Transitions Intervention (MaTI) on clinical outcomes of patients hospitalised with heart failure: protocol for the Improving the Safety and Continuity Of Medicines management at Transitions of care (ISCOMAT) cluster randomised controlled trial with embedded process evaluation, health economics evaluation and internal pilot","introduction: heart failure affects 26 million people globally, approximately 900 thousand people in the uk, and is increasing in incidence. appropriate management of medicines for heart failure at the time of hospital discharge reduces readmissions, improves quality of life and increases survival. the improving the safety and continuity of medicines management at transitions (iscomat) trial tests the effectiveness of the medicines at transition intervention (mati), which aims to enhance self-care and increase community pharmacy involvement in the medicines management of heart failure patients. methods and analysis: iscomat is a parallel-group cluster randomised controlled trial, randomising 42 national health service trusts with cardiology wards in england on a 1:1 basis to implement the mati or treatment as usual. around 2100 patients over the age of 18 admitted to hospital with heart failure with at least moderate left ventricular systolic dysfunction within the last 5 years, and planned discharge to the geographical area of the cluster will be recruited. the mati consists of training for staff, a toolkit for participants, transfer of discharge information to community pharmacies and a medicines reconciliation/review. treatment as usual is determined by local policy and practices. the primary outcome is a composite of all-cause mortality and heart failure-related hospitalisation at 12 months postregistration obtained from national electronic health records. the key secondary outcome is continued prescription of guideline-indicated therapies at 12 months measured via patient-reported data and hospital episode statistics. the trial contains a parallel mixed-methods process evaluation and an embedded health economics study. ethics and dissemination: the study obtained approval from the yorkshire and the humber—bradford leeds research ethics committee; rec reference 18/yh/0017. findings will be disseminated via academic and policy conferences, peer-reviewed publications and social media. amendments to the protocol are disseminated to all relevant parties as required. trial registration number: isrctn66212970; pre-results.",BMJ Open,0,2158
07qgdb7z,Raloxifene as a treatment option for viral infections,"severe acute respiratory syndrome coronavirus 2 (sars-cov-2) has caused corona virus disease 2019 (covid-19) pandemic and led to mass casualty. even though much effort has been put into development of vaccine and treatment methods to combat covid-19, no safe and efficient cure has been discovered. drug repurposing or drug repositioning which is a process of investigating pre-existing drug candidates for novel applications outside their original medical indication can speed up the drug development process. raloxifene is a selective estrogen receptor modulator (serm) that has been approved by fda in 1997 for treatment and prevention of postmenopausal osteoporosis and cancer. recently, raloxifene demonstrates efficacy in treating viral infections by ebola, influenza a, and hepatitis c viruses and shows potential for drug repurposing for the treatment of sars-cov-2 infection. this review will provide an overview of raloxifene’s mechanism of action as a serm and present proposed mechanisms of action in treatment of viral infections.",J Microbiol,0,1043
0l72xywr,Molecular and pathogenicity of infectious bronchitis virus (Gammacoronavirus) in Japanese quail (Coturnix japonica),"infectious bronchitis virus (ibv) infection is highly infectious respiratory disease in poultry industry with significant economic importance. the prevalence of ibv in quail industry in malaysia was not well documented; therefore, its actual role in the epidemiology of the disease is relatively unknown. this study was to determine the susceptibility of japanese quail, as one of the species in commercial poultry industry, toward ibv. in addition, it will also give a potential impact on the overall health management in the quail industry even though it had been established that quail are resistant to diseases affecting poultry. moreover, to the best of our knowledge, it is the first experimental study on ibv inoculation in quail. in this experimental study, 20 quails were divided into 4 groups (n = 5 for group a, b, and c, n = 5 for control group). the quails in group a, b, and c were infected via intraocular and intranasal routes with 0.2 ml of 10 × 5 eid(50) of the virus. clinical signs, gross lesions, positive detection of virus, and trachea histopathological scoring were used to assess the susceptibility of these japanese quails. the results have indicated mild ruffled feathers and watery feces in these inoculated birds. trachea, lung, and kidney were subjected to one-step reverse transcription polymerase chain reaction for virus detection. the virus was found from trachea and lung samples, whereas it was absent from all kidney samples. only 3 quails were found with gross lesions. there was a significant difference of tracheal lesion by 0.009 ± 0.845 (p < 0.05) within the treatment groups. in summary, japanese quails might be susceptible to ibv.",Poult Sci,0,1675
00d386vb,Abdominal Imaging Associates Body Composition with COVID-19 Severity,"the main drivers of covid-19 disease severity and the impact of covid-19 on long-term health after recovery are yet to be fully understood. medical imaging studies investigating covid-19 to date have mostly been limited to small datasets and post-hoc analyses of severe cases. the uk biobank recruited recovered sars-cov-2 positive individuals (n=967) and matched controls (n=913) who were extensively imaged prior to the pandemic and underwent follow-up scanning. in this study, we investigated longitudinal changes in body composition, as well as the associations of pre-pandemic image-derived phenotypes with covid-19 severity. our longitudinal analysis, in a population of mostly mild cases, associated a decrease in lung volume with sars-cov-2 positivity. we also observed that increased visceral adipose tissue and liver fat, and reduced muscle volume, prior to covid-19, were associated with covid-19 disease severity. finally, we trained a machine classifier with demographic, anthropometric and imaging traits, and showed that visceral fat, liver fat and muscle volume have prognostic value for covid-19 disease severity beyond the standard demographic and anthropometric measurements. this combination of image-derived phenotypes from abdominal mri scans and ensemble learning to predict risk may have future clinical utility in identifying populations at-risk for a severe covid-19 outcome.",,0,1401
0gkx9vkd,Esophageal stripping creates a clear operative field for lymph node dissection along the left recurrent laryngeal nerve in prone video-assisted thoracoscopic surgery.,"we describe a 54-year-old man in whom esophageal carcinoma was diagnosed and who underwent video-assisted thoracoscopic surgery of the esophagus (vats-e) in the prone position. initially, the patient was fixed in a semiprone position, from which he could be rotated to a prone or left lateral position. four ports were inserted, and then the patient was rotated to the prone position. once the patient was prone, gravity caused the lung to move downwards. next, the chest cavity was inflated with a co(2) insufflation pressure of 6 mm hg. esophagectomy was then performed, and the lymph nodes in the middle and lower mediastinum and along the right recurrent laryngeal nerve were dissected. in the left upper mediastinum, lymph node dissection was performed after the residual esophagus was stripped. stripping of the residual esophagus created sufficient working space and a clear operative field for lymph node dissection. vats-e in the prone position has achieved remarkable results in japan. it allows a clear operative view of the middle and lower mediastinum, but the working space in the upper mediastinum is limited. our results indicate that esophageal stripping in prone vats-e allows for safe and straightforward lymph node dissection along the left recurrent laryngeal nerve. our technique overcame the difficulties usually encountered with this type of lymph node dissection.",Journal of Nippon Medical School = Nippon Ika Daigaku zasshi,0,1388
00l0ix7x,The influence of limestone particle size on egg shell quality off eggs produced by semi heavy laying hens raised in floor/ Influência da granulometria do calcário sobre a qualidade da casca de ovos produzidos por poedeiras semipesadas criadas no piso,"the objective was to evaluate the influence of different particle size of limestone, used in the nutrition of laying hens raised in bed system, on weight and egg shell quality. 360 eggs were harvested from laying hens, whose were fed with three different particle sizes of limestone: thick (particles of 2 mm), thin (particles of 0.82 mm) and the mixture of the two (50% thick and 50% thin). the parameters used for evaluating the quality of the eggs were egg weight, percentage and thickness of the shell. the results showed that the use of limestone with thick grain size affected (p 0.05) egg weight due to the increase of percentage of the shell. concluding that the particle size of 2 mm of limestone in the diet improved the shell quality of eggs produced by laying hens created on the floor with 36-52 weeks of age.",B. Indústr. Anim.,0,822
0336exv3,Soluble triggering receptor on myeloid cells-1 is expressed in the course of non-infectious inflammation after traumatic lung contusion: a prospective cohort study.,"introduction the triggering receptor expressed on myeloid cells-1 (trem-1) is known to be expressed during bacterial infections. we investigated whether trem-1 is also expressed in non-infectious inflammation following traumatic lung contusion. methods in a study population of 45 adult patients with multiple trauma and lung contusion, we obtained bronchoalveolar lavage (bal) (blind suctioning of 20 ml nacl (0.9%) via jet catheter) and collected blood samples at two time points (16 hours and 40 hours) after trauma. post hoc patients were assigned to one of four groups radiologically classified according to the severity of lung contusion based on the initial chest tomography. concentration of soluble trem-1 (strem-1) and bacterial growth were determined in the bal. strem-1, il-6, il-10, lipopolysaccharide binding protein, procalcitonin, c-reactive protein and leukocyte count were assessed in blood samples. pulmonary function was evaluated by the pao2/fio2 ratio. results three patients were excluded due to positive bacterial growth in the initial bal. in 42 patients the severity of lung contusion correlated with the levels of strem-1 16 hours and 40 hours after trauma. strem-1 levels were significantly (p < 0.01) elevated in patients with severe contusion (2,184 pg/ml (620 to 4,000 pg/ml)) in comparison with patients with mild (339 pg/ml (135 to 731 pg/ml)) or no (217 pg/ml (97 to 701 pg/ml)) contusion 40 hours following trauma. at both time points the pao2/fio2 ratio correlated negatively with strem-1 levels (spearman correlation coefficient = -0.446, p < 0.01). conclusions strem-1 levels are elevated in the bal of patients following pulmonary contusion. furthermore, the levels of strem-1 in the bal correlate well with both the severity of radiological pulmonary tissue damage and functional impairment of gas exchange (pao2/fio2 ratio).",Critical care,1,1865
016qtk6w,MicroRNAs and Mammarenaviruses: Modulating Cellular Metabolism,"mammarenaviruses are a diverse genus of emerging viruses that include several causative agents of severe viral hemorrhagic fevers with high mortality in humans. although these viruses share many similarities, important differences with regard to pathogenicity, type of immune response, and molecular mechanisms during virus infection are different between and within new world and old world viral infections. viruses rely exclusively on the host cellular machinery to translate their genome, and therefore to replicate and propagate. mirnas are the crucial factor in diverse biological processes such as antiviral defense, oncogenesis, and cell development. the viral infection can exert a profound impact on the cellular mirna expression profile, and numerous rna viruses have been reported to interact directly with cellular mirnas and/or to use these mirnas to augment their replication potential. our present study indicates that mammarenavirus infection induces metabolic reprogramming of host cells, probably manipulating cellular micrornas. a number of metabolic pathways, including valine, leucine, and isoleucine biosynthesis, d-glutamine and d-glutamate metabolism, thiamine metabolism, and pools of several amino acids were impacted by the predicted mirnas that would no longer regulate these pathways. a deeper understanding of mechanisms by which mammarenaviruses handle these signaling pathways is critical for understanding the virus/host interactions and potential diagnostic and therapeutic targets, through the inhibition of specific pathologic metabolic pathways.",Cells,0,1582
07p56w0j,Analisis faktor yang berhubungan dengan perilaku ibu hamil dalam pencegahan COVID-19,"coronavirus disease 2019 (covid-19) adalah penyakit yang sedang mewabah hampir di seluruh dunia saat ini, dengan nama virus severe acute respiratory syndrome coronavirus-2 (sarscov2) yang dilaporkan pertama kali pada 31 desember 2019. coronavirus sebelumnya (sars-cov dan mers-cov) dan beberapa kasus covid-19, dipercaya bahwa ibu hamil memiliki risiko lebih tinggi untuk terjadinya penyakit berat, morbiditas dan mortalitas dibandingkan dengan populasi umum. rekomendasi standar pencegahan penyebaran infeksi adalah cuci tangan secara teratur dengan sabun dan air bersih, menerapkan etika batuk dan bersin, menghindari kontak langsung. tujuan penelitian untuk mengetahui faktor yang berhubungan dengan perilaku ibu hamil dalam pencegahan covid-19 di wilayah kerja puskesmas andalas kota padang. jenis penelitian ini bersifat observasional dengan menggunakan desain cross sectional. populasi penelitian adalah seluruh ibu hamil berjumlah 1.018 orang. sampel berjumlah 98 orang diambil menggunakan teknik purposive sampling yang memenuhi kriteria inklusi dan eksklusi. instrumen penelitian ini adalah kuesioner elektronik berupa g-form. analisis data dengan uji chi-square (α<0,05). hasil uji statistik pengetahuan (p=0,001), sikap (p=0,001) dukungan suami (p=0,001) dan ketersediaan sarana prasarana (p=0,027). terdapat hubungan faktor pengetahuan, sikap, dukungan suami dan ketersediaan sarana prasarana dengan perilaku ibu hamil dalam pencegahan covid-19. diharapkan kepada tenaga kesehatan dapat bekerjasama dengan kader kesehatan dan tokoh masyarakat dalam memberikan penyuluhan terkait pencegahan covid-19 pada ibu hamil. kata kunci: pengetahuan, sikap, dukungan suami, perilaku, ibu hamil, covid-19 coronavirus disease 2019 (covid-19) is a disease that is currently endemic in almost all of the world, with the name severe acute respiratory syndrome coronavirus-2 (sarscov2) which was first reported on december 31, 2019. previous coronaviruses (sars-cov and mers-cov) and some cases of covid-19, it is believed that pregnant women have a higher risk of serious illness, morbidity and mortality compared to the general population. standard recommendations for preventing the spread of infection are washing hands regularly with soap and clean water, applying coughing and sneezing etiquette, avoiding direct contact. the purpose of the study was to determine factors related to the behavior of pregnant women in preventing covid-19 in the andalas health center, padang city. this type of research is observational using adesign cross sectional. the study population was all pregnant women totaling 1,018 people. a sample of 98 people was taken using a purposive sampling technique that met the inclusion and exclusion criteria. the research instrument is an electronic questionnaire in the form of a g-form. data analysis withtest chi-square (α<0.05). the results of the statistical test of knowledge (p= 0.001), attitude (p= 0.001) husband's support (p= 0.001) and availability of infrastructure (p= 0.027). there is a relationship between the factors of knowledge, attitude, husband's support and availability of infrastructure with the behavior of pregnant women in preventing covid-19. it is hoped that health workers can cooperate with health cadres and community leaders in providing counseling related to the prevention of covid-19 in pregnant women. keywords: knowledge, attitude, husband's support, behavior, pregnant women, covid-19",JIK (Jurnal Ilmu Kesehatan),1,3448
0cek9kal,Fecal Microbiota Transplantation (FMT) with Colonoscopy Is Superior to Enema and Nasogastric Tube While Comparable to Capsule for the Treatment of Recurrent Clostridioides difficile Infection: A Systematic Review and Meta-Analysis.,"background several routes of fecal microbiota transplantation (fmt) administration are available for treating recurrent clostridioides difficile infections (cdi), the most recent of which are capsules. aim to assess the efficacy of colonoscopy, capsule, enema, and nasogastric tube (ngt) fmt for the treatment of recurrent cdi. methods we reported clinical outcomes of colonoscopy, capsule, enema, and ngt fmt for the treatment of recurrent cdi according to the preferred reporting items for systematic reviews and meta-analyses guidelines. during january 2000 to january 2018, three databases were searched: pubmed, embase, and cinahl. primary outcome was overall cure rate which was assessed using a random effects model; secondary outcomes included adverse effects as well as subgroup analyses comparing donor relationship, sample preparation, and study design. results twenty-six studies (1309 patients) were included in the study. fmt was administered using colonoscopy in 16 studies (483 patients), ngt in five studies (149 patients), enema in four studies (360 patients), and capsules in four studies (301 patients). the random effects of pooled fmt cure rates were colonoscopy 94.8% (ci 92.4-96.8%; i2 15.6%), capsule 92.1% (ci 88.6-95.0%; i2 7.1%), enema 87.2% (ci 83.4-90.5%; i2 0%), and ngt/ndt 78.1% (ci 71.6-84.1%; i2 0%). on subgroup analysis of colonoscopy fmt, sample preparation methods had comparable cure rates: fresh 94.9% compared to 94.5%. similarly, cure rates were unaffected by donor relationship: mixed 94.5% compared to unrelated donor 95.7%. conclusion cdi cure rates with fmt performed with colonoscopy are superior to enema and ngt fmt, while those with fmt with colonoscopy and capsule are comparable.",Digestive diseases and sciences,0,1732
0163x8ra,Design of a virtual longitudinal observational study in Parkinson's disease (AT-HOME PD),"objective: the expanding power and accessibility of personal technology provide an opportunity to reduce burdens and costs of traditional clinical site-centric therapeutic trials in parkinson's disease and generate novel insights. the value of this approach has never been more evident than during the current covid-19 pandemic. we sought to (1) establish and implement the infrastructure for longitudinal, virtual follow-up of clinical trial participants, (2) compare changes in smartphone-based assessments, online patient-reported outcomes, and remote expert assessments, and (3) explore novel digital markers of parkinson's disease disability and progression. methods: participants from two recently completed phase iii clinical trials of inosine and isradipine enrolled in assessing tele-health outcomes in multiyear extensions of parkinson's disease trials (at-home pd), a two-year virtual cohort study. after providing electronic informed consent, individuals complete annual video visits with a movement disorder specialist, smartphone-based assessments of motor function and socialization, and patient-reported outcomes online. results: from the two clinical trials, 226 individuals from 42 states in the united states and canada enrolled. of these, 181 (80%) have successfully downloaded the study's smartphone application and 161 (71%) have completed patient-reported outcomes on the online platform. interpretation: it is feasible to conduct a large-scale, international virtual observational study following the completion of participation in brick-and-mortar clinical trials in parkinson's disease. this study, which brings research to participants, will compare established clinical endpoints with novel digital biomarkers and thereby inform the longitudinal follow-up of clinical trial participants and design of future clinical trials.",Ann Clin Transl Neurol,0,1852
0gdzlcif,Review of the current empirical literature on using videoconferencing to deliver individual psychotherapies to adults with mental health problems,"purpose: the covid‐19 pandemic has resulted in a widespread adoption of videoconferencing as a communication medium in mental health service delivery. this review considers the empirical literature to date on using videoconferencing to deliver psychological therapy to adults presenting with mental health problems. method: papers were identified via search of relevant databases. quantitative and qualitative data were extracted and synthesized on uptake, feasibility, outcomes, and participant and therapist experiences. results: videoconferencing has an established evidence base in the delivery of cognitive behavioural therapies for post‐traumatic stress disorder and depression, with prolonged exposure, cognitive processing therapy, and behavioural activation non‐inferior to in‐person delivery. there are large trials reporting efficacy for health anxiety and bulimia nervosa compared with treatment‐as‐usual. initial studies show applicability of cognitive behavioural therapies for other anxiety and eating disorders and obsessive–compulsive spectrum disorders, but there has yet to be study of use in severe and complex mental health problems. therapists may find it more difficult to judge non‐verbal behaviour, and there may be initial discomfort while adapting to videoconferencing, but client ratings of the therapeutic alliance are similar to in‐person therapy, and videoconferencing may have advantages such as being less confronting. there may be useful opportunities for videoconferencing in embedding therapy delivery within the client’s own environment. conclusions: videoconferencing is an accessible and effective modality for therapy delivery. future research needs to extend beyond testing whether videoconferencing can replicate in‐person therapy delivery to consider unique therapeutic affordances of the videoconferencing modality. practitioner points: videoconferencing is an efficacious means of delivering behavioural and cognitive therapies to adults with mental health problems. trial evidence has established it is no less efficacious than in‐person therapy for prolonged exposure, cognitive processing therapy, and behavioural activation. while therapists report nonverbal feedback being harder to judge, and clients can take time to adapt to videoconferencing, clients rate the therapeutic alliance and satisfaction similarly to therapy in‐person. videoconferencing provides opportunities to integrate therapeutic exercises within the person’s day‐to‐day environment.",Psychol Psychother,0,2503
0f3mrie7,Post Covid 19 Cashless Societies: Merchants Acceptance of Plastic Cards Payments in Mauritius,"the paper aims to provide broad insights towards the acceptance of plastic card payments from merchants in mauritius a quantitative research approach has been adopted for the paper whereby the perceptions of merchants have been tapped by adopting quantitative research techniques, by conducting a survey with 200 merchants across the 9 districts of the island of mauritius as far as the perception of merchants is concerned for plastic card acceptance, only 37% of merchants accept plastic card payments and they have highlighted such factors as 'to increase frequency sales (21 7%)', 'to increase competitiveness (20 8%)' and 'lower risks of theft and counterfeit (19 8%)' as the main reasons for adopting innovative payment solutions this original research has made a valuable contribution to the body of literature as there is a lack of empirical and holistic studies towards innovative payment solutions in mauritius therefore, the research has enough concrete and empirical findings that would serve as a roadmap for banking executives, credit card companies, policy makers of banking industry and merchants to better promote and sustain the adoption of plastic cards by devising appealing marketing strategies in post covid19 the research will also provide merchants with insightful ideas to promote the adoption of plastic cards among customers as merchants are in direct touch with customers in the retail outlets of mauritius this research is innovative since it has adopted a quantitative research approach to deepen insights into the factors impacting on the acceptance of plastic cards among merchants in mauritius this paper provides a holistic perspective in understanding the emerging phenomenon of innovative payment solutions by integrating the views of merchants unlike other studies which have concentrated on plastic card adoption only from a customers' point of view this research is one of the pioneer studies that has addressed the benefits and challenges of plastic card payments as there are several changes happening in the payments landscape, following the pandemic crisis around the world",Academy of Marketing Studies Journal,1,2116
09aq2j2a,SARS-CoV-2 Exoribonuclease (NSP14) As a Potential Therapeutic Target to Treat COVID-19,"although the global health emergency caused by sars-cov-2 has led to unprecedented health and socioeconomic crisis, as of today neither an antiviral treatment h",,0,160
041kdrdm,Research on the Effect of 5Why-Based Nursing Intervention in Blood Purification Nursing,"in order to explore the effectiveness of the 5why-based nursing intervention method in blood purification nursing, this paper takes 108 patients from changzhou second hospital in the past three years as an example for experimental analysis. moreover, this paper uses mathematical statistics to group patients into groups, and the two groups of patients are comparable. after grouping, this paper conducts preexperiment processing and then conducts patient grooming through various basic tasks so that the test results have a certain degree of reliability. on this basis, this paper verifies the nursing intervention methods through controlled trials. among them, the control group is treated with the hospital's conventional nursing methods and allowed patients to master self-nursing methods, while the test group is treated with 5why-based nursing intervention on the basis of traditional nursing methods. finally, this paper combines mathematical statistics to evaluate the effect of blood purification nursing. from the research results, it can be known that the 5why-based nursing intervention method has certain effectiveness in blood purification nursing.",J Healthc Eng,0,1162
069vniqd,Konteks kemunculan kata-kata baru Bahasa Indonesia dan Bahasa Jepang dalam situasi wabah COVID-19,"sejak awal tahun 2020 virus corona bentuk baru/covid-19 telah menyebar di seluruh dunia. hal ini mengakibatkan ancaman besar terhadap masyarakat di seluruh dunia. ancaman wabah covid-19 telah mengubah gaya hidup manusia seiring maraknya penyakit menular ini hingga begitu berdampak terhadap perekonomian dunia. bersamaan dengan situasi covid-19 yang belum pernah dialami muncul berbagai kata baru dan mengakar pada masyarakat dalam kehidupan sehari-hari. oleh karena itu, dalam artikel ini, peneliti ingin mengeksplorasi arti dan konsep kata-kata baru tersebut sambil membandingkannya dalam bahasa indonesia dan bahasa jepang serta mengkaji bagaimana kata-kata baru tersebut lahir dan tersebar. situasi covid-19 merupakan fenomena yang terus berlanjut. ada kemungkinan situasi akan terus berubah antara waktu penulisan artikel ini dengan situasi waktu ke depan. oleh karena itu peneliti berharap meskipun artikel ini masih dalam proses penelitian semoga dapat berlanjut pada pendalaman penelitian berikutnya. kata kunci: covid-19;kata baru bahasa indonesia;kata baru bahasa jepang;sosiolinguistik the new coronavirus/covid-19 has spread throughout the world since the beginning of 2020. this has resulted in a major threat to communities around the world. the threat of the covid-19 pandemic has changed people's lifestyles along with the spread of this infectious disease so that it has an impact on the world economy. along with the covid-19 pandemic situation that has never been experienced, various new words emerge and take root in society in everyday life. therefore, in this article, the researcher wanted to explore the meanings and concepts of these new words while comparing them in indonesian and japanese as well as examining how these new words were born and spread. the covid-19 situation is an ongoing phenomenon. there is a possibility that the situation will change between the time of writing this article and the situation in the future. therefore, researchers hope that even though this article is still in the process of being researched, it is hoped that the topic can be deepened in the next research. keywords: covid-19;new indonesian words;new japanese words;sociolinguistics",Ayumi : Jurnal Budaya Bahasa dan Sastra,1,2201
019wlxj6,Vascular activation is a strong predictor of mortality in coronavirus disease 2019 patients on the ICU.,"respiratory failure in coronavirus disease 2019 (covid-19) patients is one of the most frequent causes for referral to the icu. a significant percentage of these patients does not survive the infection due to thromboembolic complications. furthermore, the vascular system seems also to be involved in the pathogenesis. to investigate the role of hemostasis and endothelium on the outcome of covid-19 patients admitted to the icu. blood was drawn from 16 icu covid-19 patients for hemostatic analysis. patients were followed-up till discharge (n = 11) or death (n = 5). parameters related to both coagulation and fibrinolysis, though disturbed, were not associated with mortality. contrarily, activated von willebrand factor was increased and adamts13 levels were decreased by two-fold in nonsurvivors compared with survivors. our data established the involvement of the von willebrand factor-adamts13 axis in the covid-19 pathogenesis, thereby demonstrating that these plasma proteins seem to be strong predictors for icu mortality.",Blood coagulation & fibrinolysis : an international journal in haemostasis and thrombosis,0,1032
0eqyq3k2,Second Edition of Special Issue “Strategies and Evidence in Health Communication: Evidence and Perspectives”,"the second edition of this special issue “strategies and evidence in health communication”, published in the international journal of environmental research and public health aims primarily to increase international literature evidence and observations in the field regarding: (i) health communication strategies and crisis communication, (ii) health education and health advocacy, and (iii) the fight against the phenomenon of vaccine hesitancy (vh) through training and communication activities targeting the general public and health professionals. this special issue builds on the premise that, despite the fact that theoretical and experimental research has contributed to an increase in knowledge and evidence about the importance of communication in healthcare, communication professionals in this field still face great challenges when trying to develop messages that effectively change the behavior of large groups of people. the need to relay fast and reliable information to the general public has therefore led public institutions to seek out new and innovative ways of transmitting health-related content. in particular, for some time now, public health has also been making use of the internet and information and communication technologies (ict) to reach various population groups and achieve better health conditions for all. this practice, known as digital health or e-health, provides healthcare using digital tools (e.g., websites and social media networks) and easy-to-understand language. this is particularly important in the current pandemic context, where public health continues to face many problems and difficulties in persuading people to adhere to the guidelines issued for the containment of covid-19, with particular reference to vaccination programs, hence the importance of acquiring and strengthening communication skills in healthcare, where correct and effective communication is immediately beneficial both to professionals and patients.",Int J Environ Res Public Health,0,1974
06w8yf2s,Covid-19 and Psychology: A Scientometric Assessment of India's Publications during 2020-21,"""objectives: the present study examines the publication output of authors from india on the topic of """"covid-19 and psychology"""" using bibliometric methods. methods: the publications as listed in scopus database were identified by using """"covid-19"""" and its synonyms keywords in """"keyword"""" and """"title"""" tags. the results obtained were further restricted to subject """"psychology"""" under subject tag and country to india. results: 372 publications emerged in the last 2 years on the topic of """"covid-19 and psychology""""", Bangaluru,0,519
